ID;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z
11;Abseil = rapel;Bins = caixas;Creepy crawlies = bichos rastejantes;Dishes = pratos;Elbow = cotovelo;Facilities = instalações;Greetings = saudações;Houseboat = casa flutuante;Inspiring = inspirador(a);;;Labelled as flushable = rotulado como lavável;Mauled = ferido(a);Niceties = delicadezas;Odd = ímpar / estranho / esquisito;Playfully  = divertidamente;Quickened = acelerou;Rinks = pistas;Shepherd = pastor(a);Tempt = tentada(o);Underage = menor de idade;Veered = desviou;Waste packaging = embalagens de lixo;;;
12;Argument = argumento / discussão;Beauty pageants = concursos de beleza;Crop = colheita;Dumped = despejado(a);Eastern  = oriental;Figure skater = patinadora;Ghastly = medonho(a) / sinistro;Hire = contratar;Ironbelly = barriga de ferro;;;Leaky = com vazamento;Mild / soft = suave;Northeast = nordeste;Oughta = deveria;Pale = pálido;;Reemerged = ressurgiu;Stubbornness = teimosia;Taxpayers = contribuintes;Unfold = desdobrar / revelar;Visually impaired = deficiente visual;Willing = disposto(a);;;
13;Amid = em meio a;Bonnets = gorros;Ciders = sidras;Deaf = surdo(a);Efforts = esforços;Flock = rebanho;Greenhouses = estufas;Hold out = aguentar;Insipid = insosso;;;Linger = permanecer;Maintenance = manutenção;Narrow = estreito(a);Ominous = sinistro(a);Poaching = caça furtiva;;Reportedly = supostamente / alegadamente;Specks = manchas;Thorough = minucioso(a);Unwillingness = falta de vontade / relutância;Verge = beira;Wandered = vagueou;;;
14;Alas / unfortunately = infelizmente;Beneath = abaixo;Chin = queixo;Detours = desvios;Establish = estabelecer / consagrar;Fowl = galinha;Grab = agarrar / apanhar / roubar;Harvested = colhido(a);Ignite = acender / inflamar / incendiar;;;Longing = anseio;Misuse = uso indevido;Neural pathways = vias neurais;Outrageous = ultrajante / escandaloso / chocante;Pursue / Pursuit = perseguir;;Reinstated = restabelecido(a) ;Southwestern = sudoeste;Tough = difícil;Unborn = por nascer / ainda não nascido / futuro;;Wholeness = integridade;;;
15;Aimed = destinado(a);Barking = latidos;Clamp = grampo;Dam(s) = barragem(s);Envisage = imaginar / encarar / enfrentar;Ferry = balsa;Gather = juntar / reunir;Hunch = palpite;Inquiry = investigação / inquérito;;;Loathsome = repugnante;Mangled = mutilado(a) / destroçar;Nutter = maluco(a);Ordinary = comum / normal / ordinário;Pawn = penhor;;Row = fila;Sharp = afiado(a);Taught = ensinou;Unique = exclusivo(a) / único / sem igual;;Wet wipes = lenços umidecidos;;;
16;Amazement = espanto;Blaring = estridente;Childbirth = parto;Drought = seca;Eponymous = epônimo;Felon = criminoso;Guts = culhões / a coragem / a raça;Handcuffed = algemado(a);Infighting = luta interna;;;Lingered = demorou;Mermaid = sereia;Necklace = colar;Owe = dever / estar em dívida / estar obrigado;Peril / danger = perigo;;Raw / rare = cru / crua;Swept = varrido(a);Though = apesar,embora,entretanto...;Unhinge = desequilibrar / pertubar / transtornar / desengonçar;;Whistling = assobio;;;
17;Alley = beco;Bleating = balido(a);Crowd = multidão;Default = predefinição;Encompassed = englobado(a);Fleas = pulgas;Groom = noivo;Handguns = revólveres;Incoming = entrada;;;Lifeboats = botes salva-vidas;Misfits = desajustados;Noncompliance = descumprimento;Overcrowded = superlotado(a) / abarrotado / sobrecarregado;Peel = casca;;Rubbish = bobagem / entulho;Spokesperson = porta-voz;Thought = pensei;Unpleasant = desagradável / aborrecido / antipático;;Workload = carga de trabalho;;;
18;Afford = proporcionar / dispor;Benchmark = referência;Cucumber = pepino;Dairy = laticínios;Erected = erigido(a);Frightening footage = imagens assustadoras;Groaning = gemendo;Host = anfitrião;Inner = interior;;;Lumberjacks = lenhadores;Maddening = enlouquecedor;Naive = ingénuo(a);Overlook = negligenciar / omitir / deixar passar;Patch = correção / remendo;;Relentless = implacável;Shaken = abalado(a);Through = através;Understandable = compreensível;;Worship = adoração;;;
19;Aggrieved = magoado(a);Bank = banco / margem(rio,lago...);Crackling = crepitante;Drags = arrasta;Engine = motor;Fined = multado(a);Gavel = martelo;Harassment = assédio;Indolent = indolente / insensível / preguiçoso;;;Leap = salto;Maze = labirinto;Not quite = não exatamente;Outdone = superado(a) / ultrapassar / exceder / sobrepujar;Punch through = perfurar;;Recidivism = reicidência;Stranded = encalhada(o) / abandonado(a) / sem recursos;Throughout = ao longo;Upholstery = estofamento;;Whimpering = choramingando ;;;
20;Attend = comparecer;Being ill = estar doente;Concern = preocupação;Downfalls = quedas;Exceedingly = extremamente;Falling short = ficando aquém;Giggles = risadinhas;Hanging around = andando por aí;Infants = bebês;;;Loop = ciclo / laço;Mock-up = brincar / a maquete / o modelo;Nursing home = lar de idosos / casa de repouso;Op-ed = editorial;Plumbing = encanamento;;Reassignment = reatribuição;Showcasing = apresentando;Thus = portanto / assim / deste modo;Uneasy = inquieto(a) / apreensivo / preocupado;;Whooshing = assobiando;;;
21;Amounts = quantidades;Bottom = inferior;Cable car = bonde / bondinho;Dodgy = desonesta(o);Endeavor = empenho / esforço / tentativa;Flouted = desprezado(a);Gargoyle = gárgula;Hood = capuz;Invoice = fatura / conta;;;Lounge = saguão;Melee = corpo a corpo;Non-stop = sem parada / direto / interrupções;Otherwordly = sobrenatural / transcendental / alheio a este mundo;Paycheck = contracheque;;Rate = avaliar;Seized = apreendido(a);Tusks = presas;Unyielding = inflexível;;Whatsoever = de jeito nenhum;;;
22;Airbrushes = aerógrafos(as);Briefed = informado(a);Crude = bruto(a);Dozed off = cochilou;Exploiting = explorando;Foulest = mais sujo;Grunts = grunhidos / gemido / ronco;Hue = matiz;Inches = polegadas;;;Lace = renda;Misled = enganado(a);Notepad = bloco de notas;Overturned = derrubado(a);Pennies = moedas de um centavo;;Reliability = confiabilidade;Strict = rigoroso(a);Ticket gate = bilheteria / catraca;Unfailingly = infalivelmente;;Wooden debris = detritros de madeira;;;
23;Absence = ausência;Broomstick = cabo de vassoura;Carrier = portador;Defiant = desafiador(a);Enhance = realçar / aumentar / elevar;Filthy = imundo(a) / sujo / obsceno;Granted = garantido(a) / admitido / permitido / reconhecido;Hook = gancho;Ice-skating rink = pista de patinação de gelo;;;Loquacious = falador / tagarela;Mumbling = resmungando;Nods = acena com a cabeça;Outline = contorno / esboço / perfil;Physicians = médicos(as);;Ripen = amadurecer;Standstill = paralisação;Tow or Tug = reboque;Utter = total / absoluto / completo;;Wreckage = destroços;;;
24;Appointment = compromisso;Broom = vassoura;Censorship = censura;Dwindling = diminuindo;Eager = ansioso(a) / impaciente ;Fret = irritar;Gluten = glúten;Heritage = herança;Insurance = seguro;;;Lack = a falta / a carência / a necessidade;Mown = ceifado(a);Nuisance = incômodo(a);Overturn = reviravolta;Pence = centavo;;Rumbling = estrondoso(a);Stuck = grudou;Tap water = água da torneira;Uttered = pronunciou / proferir / dizer;;Ward = enfermaria;;;
25;Aims = mira;Birds of prey = aves de rapina;Content = conteúdo;Donors = doadores(as);Ensure = garantir;Fitting = apropriado(a);Gluten-free / sem glúten;Hostage = refém;Insulation = isolamento;;;Lowly = modesto / humilde;Misunderstand = entender mal;Nonetheless = não obstante;Outburst = explosão;Prosecutors = procuradoras(es);;Reckon = contar;Stuffed = recheado(a);Takes off = decola;Undergo = submeter-se a ;;Width = largura;;;
26;Arose = surgiu;Bylaws = estatutos;Chok = engasgar;Dimwitted = estúpido(a);Elderly = idoso(a);Fastidious = exigente;Greeted = saudado(a);Heir = herdeiro;Increasingly = cada vez mais / aumentar / de modo crescente;;;Long-term = longo prazo;Motorway = auto-estrada;Norse = nórdico / escandinavo / norueguês;Overwhelming = muito pesado / esmagador / opressivo;Poppy = papoula;;Round up = arredondar para cima;Souvenirs = recordações;Timber = madeira;Understandably = compreensível;;Wildlife park = parque de vida selvagem;;;
27;Aid = ajudar / auxiliar / acudir;Befall = acontecer;Chew = mastigar / mascar;Dashing = arrojado(a) / impetuoso / fogoso;Engaged = acionado(a);Fair-minded = justo(a);Glaciers = geleiros(as);Hairy = peludo(a);;;;Laces untied = laços desamarrados;Manner = maneiras / modo / espécie;Naughty = desobediente / malcriado / perverso;Obese = obeso ;Pod = vagem / o casulo;;Ragged = esfarrapado;Scarce = escasso(a);To reconcile = reconciliar;Unveiled = revelado(a);;Wildlife authority = autoridade da vida selvagem;;;
28;Appetizer = aperitivo / a entrada / o antepasto;Blimey = caramba;Customers = clientes;Doorway = o vão da porta / entrada;Enhancing = aprimoramento;Fledgling = novato(a);Gig = show / apresentação;His final pay slip = sua última folha de pagamento;;;;Lobster = lagosta;Muffled = abafado(a);Numbness = dormência;Overjoyed = muito feliz;Party = festa / o partido;;Roofs = telhados;Scalpers = cambistas;Thumbs = polegares;Unemployment = desemprego;;Wire = arame;;;
29;Adrift = à deriva / à toa;Backfired = saiu pela culatra;Cabbages = repolhos;Data breaches = violação de dados;Etches = grava / causticar / cauterizar;Feed truck = caminhão de alimentação;Gorgeous = lindo(a) / deslumbrante / esplêndido;Humming along to waltz = cantarolando junto a valsa;;;;Limbs = membros;Muttering = murmurando;Nobel peace prize = prémio Nobel da Paz;Overseas-registered = registrado no exterior;Pass out = desmaiar;;Rusty = oxidada(o);Sample = amostra;Trap door = alçapão;Unpredictable = imprevisto / imprevisível;;Wits = juízo;;;
30;Airlifted = transportados por via aérea;Brash = impetuosa(o);Cupboard = armário;Duty = dever / a obrigação / o imposto;Eddy = redemoinho;Fences = cercas;Gleaming = brilhando / reluzente;Hold out your arm = estenda seu braço;;;;Lofty = sublime / alto / elevado;Menu = cardápio;Nonchalantly = com indiferença;Open-pit = a céu aberto;Psyched = empolgado(a);;Rugged = áspero(a);Swirl = redemoinho;Torso = tronco;Undercover = disfarçado(a);;Windowsill = peitoril da janela;;;
31;Aging = envelhecimento;Boast = vangloriar-se;Culprit = culpado(a);Disorder = transtorno;Effortless = sem esforço / fácil / passivo;Flattened = achatado(a);Guarantees = garantias;Heinous = hediondo(a);;;;Lurking = à espreita;Mitigating = atenuante / abrandar;;Over time = com o tempo;Pricey delicacy = iguaria cara;;Riot = tumulto;Spotted = identificado(a) / manchado;Thigh = coxa;Unchained = desencadeado(a);;Wirtchcraft = feitiçaria;;;
32;Archway = arco;Besmirching = manchando;Conveyor belt = correia transportadora;Distress call = pedido de ajuda;Extensive = vasto / extenso;Faint-hearted = desanimado(a) / covarde / medroso / tímido;Grocery = mercado / mercearia;Hurls = lança / arremessa;;;;Lurk = emboscar / esconder-se;Monsoon rains = chuvas de monção;;Overshadowing = ofuscando;Perceive = compreender / perceber / entender;;River bank = margem do rio;Soft drinks = refrigerante;Tuck in = aconchegue-se;Unconscious = inconsciente / desmaiado / sem sentidos;;Willow tree = salgueiro;;;
33;Armchair = poltrona / braço de cadeira;Border = fronteira;Chopped vegetables = legumes picados;Deck = área coberta / convés;Exact = exato / preciso / justo;Fiance / bride = noiva;Gunmen = pistoleiros;Hovering = pairando;;;;Lettuce = alface;Monk = monge / monja;;Off guard = desprevinido;Panting / gasping = ofegante;;Railway = estrada de ferro / ferrovia;Smearing = manchando;Tatty = esfarrapado;Uniquely = unicamente;;Whilst in = enquanto em;;;
34;Antiqueness = antiguidade / velharia;Briefly = brevemente;Caretaker = zelador(a);Disability = incapacidade / inaptidão / inabilidade ;Ecstatic = em êxtase ;Fetch = buscar / trazer ;Graduate = formar-se;Herds = rebanhos;;;;Lanes = pistas;Melted = derretido(a);;Outright = sem rodeios / total / completo;Pounding = batendo;;Reassured = tranquilizado(a);Strains = deformação;Tampered = adulterado(a);Underway = em andamento;;Wardrobe = guarda-roupa;;;
35;Antlers = galhada;Breached = violado(a);Cozy = aconchegante;Depicting = representando / retratar / descrever;Exhilarating = emocionante  ;Forbade = proibido(a);Grocery store = mercado;Hub = eixo / o cubo / o ponto central;;;;Lift spirits = elevar os ânimos;Massive = enorme ;;Offshore = no mar / no alto mar;Purring = ronronar;;Robes = vestes;Sprinting = correndo;Tough-talking = durão;Unwanted = indesejado(a);;Willingly = de boa vontade;;;
36;Acquaintance = conhecido(a);Bend = dobrar / curvar / torcer;Combed = penteado;Defy = desafiar / resistir / provocar;Exposure = exposição;First off = primeiramente;Goes off = apaga;Hoax = farsa / o trote / a brincadeira;;;;Lifted = levantado(a);Mountain range = cadeia de montanhas;;Outstanding = excepcional;Prejudiced = preconceituoso(a);;Rushed = apressado(a);Stood = ficou;Tumble = cair / a queda;Unmitigated = absoluto(a);;Welfare = bem-estar;;;
37;Amend = alterar / emendar / corrigir / reformar / melhorar / aperfeiçoar;Blab = tagarelar;Cast them away = jogue-os fora;Discard = descartar / rejeitar / desfazer-se;Embodiment = encarnação;Filmmakers = cineastas;Gripped = agarrado(a);Harnessed = aproveitado(a) / arrear / atrelar / couraçar;;;;Likeness = semelhança / imagem / aparência;Membership = filiação;;Outnumbered = em menor número;Plastic-wrapped = embrulhado em plástico;;Remarks = observações;Shelter = abrigo;Took hold = tomou conta;Urged = incitado(a);;Weighs = pesa;;;
38;Allegiance = fidelidade / submissão / obediência;Blabbering = tagarelando;Canopy = marquise;Daft = idiota / maluco / tolo;Elsewhere = em outro lugar;Flicked = sacudiu / agitar / esvoaçar / chicotear levemente;Gravel = cascalho / pedregulho;Halved = metade;;;;Locket = medalhão;Misjudge = julgar mal;;;Posthumous = póstumo(a);;Reconcile = conciliar;Site = local;Tend = tratar / guardar / cuidar de;Underwent = sofrer / passar por;;Wages = remunerações / salários;;;
39;Amendments = emendas;Backwards = para trás;Cattle = gado;Deed = ato;Emblazoned = brasonado;Fancy = extravagante / imaginário / invulgar;Grower = produtor(a);Households = famílias;;;;Latched = travado(a) / trancar;Mouthwash  = enxaguante bucal;;;Peek = olhadinha / espreitar / espiar;;Robbery = roubo;Stripping off = arrancar;Tightened = apertado(a) / cerrar / esticar;Unfolded = desdobrado(a);;Wearisome = cansativo(a);;;
40;Aim = mirar / alvo / objetivo;Breastfed = amamentado(a);Comprised = composto(a);Daresay = ouso dizer;Easing = flexibilização ;Flapping = batendo / agitar / vibrar;Grim = sinistro(a);Householders = chefe de família;;;;Lure = atrair / seduzir / fascinar / encantar;Misleading = errôneo(a) / enganosa;;;Pliante = flexível;;Rim = aro;Savvy = experiente / conhecedor;"Teargas = 
gás lacrimogêneo";Upended = de cabeça para baixo;;Wails = lamentos / chorar / gemer / prantear;;;
41;Allergy = alergia;Baseless = sem fundamento / infundado;Concerned = preocupado(a);Delighted = encantado(a) / satisfeito(a);Embers = brasas;Fortune teller = vidente;Goods = bens / mercadorias;Hereby = por este meio;;;;Lacking = em falta / sem;Major = principal;;;Prat = idiota;;Racoon = guaxinim;Surgery = cirurgia;Toughness = dureza;Undid = desfez / desatar / soltar;;Whereabouts = paradeiro;;;
42;Aftershocks = tremores secundários;Brewing = fermentação / preparação;Cocky = pretencioso(a) / convencido(a);Dessert = sobremesa;Enrolled = matriculado(a) ;Flippant = irreverente / superficial / desenvolto;Grit = grão / ranger;Hissing = assobio;;;;Lackeys = lacaios;Meld = fundir;;;Pinpoint = identificar / apontar / localizar com precisão;;Regard = considerar / respeitar;Similar = semelhante;Trite = trivial / banal;Undergo = submeter-se a / sofrer / passar por;;Wavelengths = comprimento de ondas;;;
43;Assault = assalto / ataque / investida;Boggled = confuso(a);Cargo ship = cargueiro;Dreadful = terrível / medonho / espantoso;Engage = se empenhar / engajar / engatar;Forbids = proíbe;Gouged out = arrancados;Halted = parado(a);;;;Lactose = lactose;Moreover = além disso / aliás / além do mais;;;Pole = poste / mastro;;Rod = haste / cajado / vara;Store = armazenar;Tiresome = cansativo(a);Unaided = sem ajuda;;Western = ocidente;;;
44;Ambusher = emboscador;Blockbuster  = sucesso de bilheteria;Capsizing = virando;Doomed = condenado(a);Encampment = acampamento;Flanker = flanqueador;Gaggle = bando;Handy = útil;;;;Lactose-intolerance = intolerância à lactose;Maim = mutilar;;;Puzzled = intrigado(a);;Rat = ratazana;Stock = estoque;Tilt = inclinar / pender / virar;Unseats = destitui;;Wagging = abanando / sacudir;;;
45;Assemble = montar / reunir / juntar / convocar / agregar;Begrudge = invenjar / dar de má vontade;Crops = plantações;Dawdling = demorando / perder o tempo;Exemption = isenção;Freehand  = à mão livre / sagacidade / reserva / prudência;;Hourglass = ampulheta;;;;Ledge = saliência / ressalto / rebordo;Meager = escasso(a) / magro / deficiente;;;Premises = instalações;;Regarding = em relação a / a respeito de / relativamente a;Slightly = levemente;Tap = toque / bica / torneira;Unsuspecting = desavisados;;Wields = empunha / manejar / brandir;;;
46;Attempting = tentando;Blindfold = de olhos vendados;Clattering = barulhento(a);Dealer = distribuidor(a);Edible = comestível;Fares = tarifas;;Handful = punhado(a);;;;Life insurance = seguro de vida;Merge = mesclar / fundir / misurar;;;Prone = propenso(a);;Resemble = assemelhar;Shelling = bombardeio;Teensy = pequenino(a);;;weaned = desmamado(a) / desabituar / afastar;;;
47;Afterwards = depois / mais tarde;Beehives = colmeias;Cane = bengala;Deceased = morto(a) / falecido(a);Evaluated = avaliado(a);Fearful = medo / medroso / temeroso / tímido ;;Haul = transporte / arrastar / rebocar;;;;Landscape = panorama / a vista / a paisagem;;;;Power disruption = interrupção de energia;;Rip = rasgar;Sewer = esgoto;Thievery = roubo / furto;;;Whopping = enorme / colossal / gritante;;;
48;Aid = ajuda;Beekeepers = apicultores(as);Concoctions = misturas;Dearie = querida(o);Embassy = embaixada;Fierce / ferocious = feroz;;Hereafter = daqui em diante / futuramente;;;;Lift = levantar / erguer ;;;;Pipelines = oleodutos;;Regrettably = lamentavelmente;"Smirking = 
sorrindo maliciosamente";Tryouts = testes;;;Would drag too much = arrastaria muito;;;
49;Abroad = fora do país / no exterior ;Bloodlust = sede de sangue;Chitchat = bate papo / tagarelice / fofoca;Downfall = queda / ruina / perdição;;Freezing = congelando;;Hike = caminhada / marcha;;;;Labor = trabalho;;;;Phasing out = eliminando gradualmente;;Ranged = variado(a);Scarcely = dificilmente;Tusk = presa;;;Wife-to-be = futura esposa;;;
50;All-encompassing = abrangente;Brew = preparar / fermentação / bebiba fermentada / infusão;Coax = persuadir / aliciar / influenciar;Divination  = adivinhação / palpite;;Forceful = forte / violento;;Homeland = terra natal / pátria;;;;Lying = deitado(a);;;;Portly = corpulento(a);;Retrieval = recuperação / o restabelecimento / a reaquisição;Sacking = despedindo;Therefore = portanto;;;Whipping = chicotear / surra;;;
51;Abducted = raptado(a);Burrow = toca / cova / refúgio;Crest = crista / cume;Dizzying = vertiginoso(a) / entontecer / confundir / atordoar;;Flawless = sem falhas;;Hatchet = machadinha;;;;Low-income workers = trabalhadores de baixa renda;;;;Peak = pico / auge / cume / bico;;Rough = duro / áspero / rude / agitado;Shriveled = enrugado(a);Torn = rasgado(a) / despedaçado;;;Warped = deformado(a);;;
52;Amiable = amável ;Bequest = legado / herança / doação;Crowded = lotado(a) / superlotado(a);Defrauded = fraudado(a);;Filthy = imundo / sujo / imoral;;Howling = uivando / gritante / barulhento / vociferante;;;;Lavish = luxuoso;;;;Prevalent = predominante;;Retailers = revendedores(as);Steady = estável;Trek = caminhada / viagem;;;Wander = perambular;;;
53;Adorable = adorável;By all means = por todos os meios / certamente / de todo jeito;Canister = vasilha;Dozens = dezenas;;Frail = frágil;;Holey = esburacado(a);;;;Leaden = chumbo / pesado / pesado como chumbo ;;;;Portraits = retrato;;Riled = irritado(a);Sink = pia / afundar;Tent = barraca / tenda;;;Whilst = enquanto / embora;;;
54;Application = inscrição / pedido;Banging = batendo;Creepy = repugnante / rastejante / arrepiante;Depth = profundidade;;Features = recursos;;Hooded = encapuzado;;;;Lieutenant = tenent;;;;Proctor = inspetor;;Rely = contar com / depender;Spin = rodar;Treacherous = traiçoeiro(a);;;Wondrous to behold = maravilhoso de se ver;;;
55;Ace = ás;Bragged = gabar-se / vangloriar-se;Concerns = preocupações;Dismay = desânimo;;Flew = voei;;Hawthorn = espinheiro;;;;Layers = camadas;;;;Piglets = leitões / leitoas;;Regrettable = lamentável / deplorável / lastimável;Spins = rotaciona;Thrice = três vezes;;;Wrapping factory = fábrica de embalagens;;;
56;Accountant = contador(a);Brakes = freios;Core = núcleo / testemunho / cerne;Doomed = condenado(a);;Fire crews = equipes de bombeiros;;Hideous = medonho(a) / terrível / muito feio;;;;Litters = ninhadas;;;;Prior = prévio(a) / anterior / antecedente;;Reckons = calcula / considera;Shipments = remessos(as);That went well = correu bem;;;Writhing = contorcendo-se;;;
57;AM = indica o período que vai da meia-noite até as 11:59 da manhã.;Binding = vinculativo / ligação / amarração;Clatter = barulho / ruído / algazarra;Dump = jogar fora / despejar / descarregar / esvaziar;;Faucet / tap = torneira;;Hometown = cidade natal;;;;Loin = lombo;;;;Parry = desviar-se / desviar / evitar / parar;;Remarkably = notavelmente / extraordinariamente / invulgarmente;Smuggled = contrabandeado(a);Throw off = jogar fora;;;Waitress = garçonete;;;
58;Arrow = seta / ;Bill = conta;Cage = cela / jaula / caixa / gaiola;During / for / over = durante;;From now on = de agora em diante;;Hairdresser = cabeleireiro(a);;;;Lipstick = batom;;;;Pouring = derramando ;;Relief = alívio / relevo;Sprawling = extenso(a);Throwing away = jogando fora;;;Whether = se / ou / quer;;;
59;Attach = anexar;Blanket = cobertor / manta / coberta;Craved = ansiava / desejar / implorar / almejar / suplicar;Downpour = aguaceira;;Freighter = cargueiro;;Highway = rodovia;;;;Landfills = aterros sanitários;;;;Prioritizing = priorizando;;Rotten = podre;Strap = alça;Threw away = jogou fora;;;Wound = ferimento / ferida;;;
60;Attempted coup = tentativa de golpe;Bankrupt = falido(a) / quebrado / arruinado;Cunning = ardiloso(a) / habilidade / capacidade / astúcia;Den = covil;;Flooring = piso / pavimentação / pavimento;;Huge = imenso / enorme;;;;Lit = aceso(a);;;;Pottery = cerâmica;;Rendezvous = encontro;Standard = padrão;Tug of war = cabo-de-guerra;;;Wailing = lamentando;;;
